scientific_name,marker,ncbi_hits
"Abutilon indicum",trnL,4
"Abutilon megapotamicum",trnL,0
"Acacia pennata",trnL,0
"Acacia senegal",trnL,27
"Acer ginnala",trnL,12
"Acer nigrum",trnL,2
"Acmella oleracea",trnL,0
"Acronychia acidula",trnL,1
"Aframomum laurentii",trnL,0
"Agathosma betulina",trnL,0
"Agave tequilana",trnL,1
"Alibertia patinoi",trnL,2
"Allium cepa var. aggregatum",trnL,0
"Allium ledebourianum",trnL,6
"Allium porrum",trnL,35
"Aloe cooperi",trnL,0
"Aloysia triphylla",trnL,6
"Alpinia conchigera",trnL,0
"Alpinia globosa",trnL,0
"Alpinia latilabris",trnL,0
"Alpinia malaccensis",trnL,5
"Alpinia zerumbet",trnL,1
"Amaranthus cruentus",trnL,2
"Amaranthus dubius",trnL,2
"Amaranthus thunbergii",trnL,2
"Ammi majus",trnL,0
"Amomum aromaticum",trnL,0
"Amomum compactum",trnL,0
"Amomum longiligulare",trnL,0
"Amomum subulatum",trnL,3
"Amomum verum",trnL,0
"Ananas parguazensis",trnL,1
"Ancylobothrys petersiana",trnL,0
"Aneilema aequinoctiale",trnL,0
"Angelica japonica",trnL,0
"Annona atemoya",trnL,3
"Annona diversifolia",trnL,0
"Annona scleroderma",trnL,0
"Anonidium mannii",trnL,0
"Anredera baselloides",trnL,0
"Apium carvi",trnL,0
"Apium prostratum",trnL,1
"Aponogeton distachyos",trnL,1
"Aquilegia caerulea",trnL,3
"Arachis villosulicarpa",trnL,0
"Archidendron bigeminum",trnL,0
"Archidendron bubalinum",trnL,0
"Archidendron jiringa",trnL,0
"Argania spinosa",trnL,1
"Argyranthemum frutescens",trnL,3
"Baccaurea angulata",trnL,2
"Baccaurea dulcis",trnL,1
"Baccaurea edulis",trnL,6
"Baccaurea lanceolata",trnL,1
"Baccaurea macrocarpa",trnL,57
"Baccaurea motleyana",trnL,15
"Baccaurea racemosa",trnL,0
"Bactris guineensis",trnL,0
"Bambusa horsfieldii",trnL,0
"Banksia integrifolia",trnL,0
"Barringtonia novae-hiberniae",trnL,0
"Barringtonia procera",trnL,0
"Barringtonia scortechinii",trnL,0
"Begonia cucullata",trnL,1
"Begonia x tuberhybrida",trnL,0
"Beloperone californica",trnL,2
"Beta palonga",trnL,0
"Beta vulgaris subsp. cicla",trnL,0
"Beta vulgaris subsp. vulgaris",trnL,4
"Billardiera scandens",trnL,0
"Brachiaria deflexa",trnL,7
"Brachiaria ramosa",trnL,0
"Brassica juncea var. juncea",trnL,3
"Brassica juncea var. rugosa",trnL,0
"Brassica napobrassica",trnL,0
"Brassica oleracea var. alboglabra",trnL,2
"Brassica oleracea var. botrytis",trnL,2
"Brassica oleracea var. botrytis x italica",trnL,0
"Brassica oleracea var. capitata f. acuta",trnL,0
"Brassica oleracea var. capitata f. alba",trnL,3
"Brassica oleracea var. capitata f. rubra",trnL,0
"Brassica oleracea var. capitata f. sabauda",trnL,0
"Brassica oleracea var. costata",trnL,0
"Brassica oleracea var. gemmifera",trnL,3
"Brassica oleracea var. gongylodes",trnL,2
"Brassica oleracea var. italica",trnL,1
"Brassica oleracea var. italica x alboglabra",trnL,0
"Brassica oleracea var. longata",trnL,0
"Brassica oleracea var. medullosa",trnL,0
"Brassica oleracea var. oleracea",trnL,0
"Brassica oleracea var. palmifolia",trnL,0
"Brassica oleracea var. ramosa",trnL,0
"Brassica oleracea var. sabellica",trnL,0
"Brassica oleracea var. viridis",trnL,1
"Brassica rapa subsp. chinensis",trnL,3
"Brassica rapa subsp. narinosa",trnL,0
"Brassica rapa subsp. oleifera",trnL,2
"Brassica rapa subsp. parachinensis",trnL,0
"Brassica rapa subsp. pekinensis",trnL,3
"Brassica rapa subsp. perviridis",trnL,0
"Brassica rapa subsp. rapa",trnL,3
"Brassica rapa subsp. trilocularis",trnL,0
"Brassica rapa var. glabra",trnL,3
"Brassica rapa var. rapifera",trnL,0
"Bromelia pinguin",trnL,1
"Bromus mango",trnL,0
"Buchanania obovata",trnL,0
"Bunchosia costaricensis",trnL,0
"Bunium bulbocastanum",trnL,0
"Calathea allouia",trnL,0
"Campomanesia guaviroba",trnL,2
"Campomanesia lineatifolia",trnL,0
"Canarium schweinfurthii",trnL,2
"Canavalia plagiosperma",trnL,0
"Capparis arborea",trnL,0
"Capparis mitchellii",trnL,0
"Carica pentagona",trnL,0
"Carica pubescens",trnL,4
"Carica x heilbornii",trnL,3
"Carica x pentagona",trnL,0
"Carissa congesta",trnL,9
"Carum roxburghianum",trnL,0
"Caryocar nuciferum",trnL,0
"Cenchrus biflorus",trnL,0
"Ceratotheca sesamoides",trnL,2
"Cereus hexagonus",trnL,0
"Cereus repandus",trnL,0
"Chaerophyllum bulbosum",trnL,0
"Cheilocostus speciosus",trnL,3
"Chenopodium bonus-henricus",trnL,1
"Chenopodium capitatum",trnL,3
"Chenopodium foliosum",trnL,3
"Chionachne gigantea",trnL,0
"Chondrus crispus",trnL,0
"Chrysanthemum morifolium",trnL,48
"Chrysophyllum africanum",trnL,0
"Cichorium endivia",trnL,1
"Cinamommum burmannii",trnL,0
"Cinamommum citriodorum",trnL,0
"Cinamommum loureiroi",trnL,0
"Cinnamomum cassia",trnL,18
"Cinnamomum loureiroi",trnL,0
"Citrus amblycarpa",trnL,0
"Citrus aurantiifolia",trnL,5
"Citrus aurantium",trnL,18
"Citrus latifolia",trnL,4
"Citrus limettioides",trnL,0
"Citrus limon",trnL,29
"Citrus meyeri",trnL,0
"Citrus mitis",trnL,0
"Citrus paradisi",trnL,19
"Citrus unshiu",trnL,15
"Citrus x floridana",trnL,0
"Citrus x limonia",trnL,8
"Citrus x taitensis",trnL,5
"Claytonia perfoliata",trnL,0
"Cleome gynandra",trnL,9
"Coix lachryma-jobi",trnL,13
"Cola nitida",trnL,1
"Commelina diffusa",trnL,1
"Cordia africana",trnL,2
"Cordia dodecandra",trnL,0
"Cordyline fruticosa",trnL,0
"Costus erythrophyllus",trnL,2
"Costus productus",trnL,1
"Crambe maritima",trnL,0
"Crataegus orientalis",trnL,0
"Crotalaria longirostrata",trnL,0
"Cucurbita pepo subsp. pepo",trnL,3
"Cucurbita pepo var. turbinata",trnL,0
"Curcuma mangga",trnL,2
"Curcuma pierreana",trnL,0
"Curcuma zanthorrhiza",trnL,5
"Cynometra cauliflora",trnL,0
"Cyphomandra betacea",trnL,3
"Daucus carota subsp. sativus",trnL,0
"Dialium indum",trnL,1
"Dianthus barbatus",trnL,2
"Digitaria iburua",trnL,0
"Dillenia serrata",trnL,0
"Dimocarpus fumatus",trnL,4
"Dioscorea cayennensis",trnL,32
"Dioscorea flabellifolia",trnL,0
"Dioscorea rotundata",trnL,22
"Diospyros discolor",trnL,3
"Diospyros major",trnL,0
"Diuris semilunulata",trnL,0
"Dovyalis caffra",trnL,1
"Durio dulcis",trnL,1
"Durio graveolens",trnL,1
"Durio kinabaluensis",trnL,0
"Durio kutejensis",trnL,1
"Durio testudinarum",trnL,0
"Elaeagnus multiflora",trnL,0
"Elaeocarpus floribundus",trnL,0
"Eleiodoxa conferta",trnL,0
"Entada phaseolides",trnL,0
"Enydra fluctuans",trnL,0
"Erioglossum rubiginosum",trnL,2
"Etlingera hemisphaerica",trnL,0
"Eucheuma",trnL,6
"Exocarpos cupressiformis",trnL,0
"Feronia limonia",trnL,4
"Ficus aspera",trnL,0
"Ficus copiosa",trnL,0
"Ficus coronata",trnL,0
"Ficus dammaropsis",trnL,0
"Ficus rubiginosa",trnL,0
"Flacourtia inermis",trnL,0
"Flindersia maculosa",trnL,1
"Foeniculum vulgare",trnL,5
"Fragaria",trnL,135
"Fragaria ananassa",trnL,9
"Freesia leichtlinii",trnL,0
"Fuchsia x hybrida",trnL,1
"Garcinia atroviridis",trnL,0
"Garcinia cochinchinensis",trnL,0
"Garcinia cowa",trnL,0
"Garcinia dulcis",trnL,0
"Garcinia forbesii",trnL,0
"Garcinia hombroniana",trnL,0
"Garcinia humilis",trnL,0
"Garcinia indica",trnL,1
"Garcinia intermedia",trnL,1
"Garcinia livingstonei",trnL,0
"Garcinia macrophylla",trnL,0
"Garcinia madruno",trnL,2
"Garcinia malaccensis",trnL,0
"Garcinia multiflora",trnL,0
"Garcinia nervosa",trnL,0
"Garcinia nitida",trnL,0
"Garcinia parvifolia",trnL,0
"Garcinia prainiana",trnL,0
"Garcinia schomburgkiana",trnL,0
"Garcinia spicata",trnL,2
"Gelidium",trnL,18
"Gladiolus grandiflorus",trnL,1
"Glebionis segetum",trnL,3
"Gnetum buchholzianum",trnL,0
"Gracilaria",trnL,14
"Grewia asiatica",trnL,0
"Gurania",trnL,7
"Hibiscus radiatus",trnL,2
"Hibiscus sabdariffa",trnL,5
"Hibiscus schizopetalus",trnL,0
"Hibiscus tiliaceus",trnL,1
"Horsfieldia australiana",trnL,0
"Hua gaboni",trnL,1
"Hydrolea zeylanica",trnL,0
"Hyptis suaveolens",trnL,5
"Inga feuilleei",trnL,4
"Ipomoea eriocarpa",trnL,1
"Ipomoea mammosa",trnL,0
"Iris x germanica",trnL,7
"Irvingia gabonensis",trnL,1
"Iva annua",trnL,0
"Jacaratia mexicana",trnL,0
"Juglans honorei",trnL,0
"Kunzea pomifera",trnL,0
"Kyllinga brevifolia",trnL,4
"Laminaria japonica",trnL,39
"Landolphia dulcis",trnL,0
"Lansium parasiticum",trnL,1
"Lanxangia tsaoko",trnL,0
"Launaea taraxacifolia",trnL,0
"Lavandula stoechas",trnL,0
"Lepisanthes fruticosa",trnL,0
"Levisticum officinale",trnL,0
"Lippia adoensis",trnL,0
"Lippia graveolens",trnL,0
"Litsea calophylla",trnL,0
"Litsea garciae",trnL,0
"Lucuma campechiana",trnL,1
"Lupinus tauris",trnL,0
"Lycianthes moziniana",trnL,31
"Macadamia tetraphylla",trnL,0
"Malpighia urens",trnL,0
"Malus turkmenorum",trnL,1
"Malvaviscus arboreus",trnL,0
"Mammea americana",trnL,0
"Mangifera caesia",trnL,0
"Mangifera kemanga",trnL,4
"Mangifera pajang",trnL,0
"Mangifera quadrifida",trnL,2
"Mangifera similis",trnL,0
"Manilkara jaimiqui",trnL,1
"Manilkara kauki",trnL,1
"Marsdenia australis",trnL,3
"Melilotus macrorhizus",trnL,0
"Mentha",trnL,204
"Merrillia caloxylon",trnL,7
"Metroxylon sagu",trnL,0
"Michelia mediocris",trnL,0
"Microlaena stipoides",trnL,1
"Mirabilis expansa",trnL,0
"Morinda officinalis",trnL,7
"Mucuna pachylobia",trnL,0
"Myrciaria dubia",trnL,0
"Myrica rubra",trnL,3
"Myristica fatua",trnL,0
"Nephelium cuspidatum",trnL,8
"Nephelium maingayi",trnL,2
"Nephelium mutabile",trnL,0
"Nephelium ramboutan-ake",trnL,2
"Nigella sativa",trnL,0
"Nopalea cochenillifera",trnL,2
"Nopalea dejecta",trnL,1
"Nymphaea x rubra",trnL,0
"Ocotea quixos",trnL,3
"Omphalea megacarpa",trnL,0
"Opuntia boldinghii",trnL,1
"Opuntia crystalenia",trnL,0
"Opuntia elatior",trnL,0
"Opuntia leucotricha",trnL,2
"Opuntia monacantha",trnL,6
"Opuntia robusta",trnL,1
"Opuntia stricta",trnL,1
"Opuntia undulata",trnL,6
"Oxalis deppei",trnL,0
"Oxypolis filiformis",trnL,0
"Pachyrhizus ahipa",trnL,0
"Pachyrhizus tuberosus",trnL,0
"Paeonia x suffruticosa",trnL,3
"Pandanus brosimos",trnL,0
"Pandanus julianettii",trnL,0
"Pangium edule",trnL,0
"Passiflora mollissima",trnL,4
"Passiflora pinnatistipula",trnL,4
"Paullinia cupana",trnL,2
"Pennisetum glaucum",trnL,15
"Pentaspadon motleyi",trnL,0
"Petunia hybrida",trnL,2
"Phaleria capitata",trnL,0
"Phaseolus dumosus",trnL,0
"Phaseolus ritensis",trnL,0
"Phoenix atlantica",trnL,0
"Phoenix sylvestris",trnL,0
"Phyllanthus acidus",trnL,1
"Phyllanthus distichus",trnL,0
"Phyllanthus emblica",trnL,1
"Physalis alkekengi",trnL,6
"Pinus cembroides",trnL,0
"Pinus coulteri",trnL,1
"Pinus culminicola",trnL,0
"Pinus edulis",trnL,0
"Pinus johannis",trnL,0
"Pinus orizabensis",trnL,0
"Pinus quadrifolia",trnL,0
"Pinus remota",trnL,0
"Pinus sabiniana",trnL,0
"Pisum sativum var. macrocarpum",trnL,0
"Pithecellobium jiringa",trnL,0
"Planchonia careya",trnL,0
"Plantago arenaria",trnL,4
"Platostoma palustre",trnL,0
"Plectranthus amboinicus",trnL,4
"Polianthes tuberosa",trnL,0
"Polygala butyracea",trnL,0
"Polygonum maximowiczii",trnL,0
"Polygonum odoratum",trnL,0
"Polymnia sonchifolia",trnL,0
